Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19740403.17.13,Summary,4/3/74,14:48:00,CST,Illinois,-,-,3,1,0,70,5,Champaign,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.98,-88.23,40.03,-88.13,1,13,132,Unmodified
19740403.47.9,Summary,4/3/74,14:50:00,CST,Tennessee,-,-,1,0,2,27,5,Hamilton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.25,-85.02,35.3,-84.93,1,9,133,Unmodified
19740403.39.4,Summary,4/3/74,14:55:00,CST,Ohio,-,-,2,0,0,180,15,Clark,Madison,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.83,-83.57,39.93,-83.3,1,4,134,Unmodified
19740403.17.14,Summary,4/3/74,14:55:00,CST,Illinois,-,-,3,0,0,350,14,Champaign,Vermilion,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.95,-88.07,40.12,-87.88,1,14,135,Unmodified
19740403.37.5,Summary,4/3/74,15:00:00,CST,North Carolina,-,-,1,0,0,30,1,Transylvania,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.12,-82.83,-,-,1,5,136,Unmodified
19740403.21.7,Summary,4/3/74,15:00:00,CST,Kentucky,-,-,4,0,2,150,14,Grayson,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,37.42,-86.57,37.5,-86.33,1,7,137,Unmodified
19740403.47.8,Summary,4/3/74,15:00:00,CST,Tennessee,-,-,1,0,0,27,4,Robertson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.48,-86.97,36.52,-86.9,1,8,138,Unmodified
19740403.18.14,Summary,4/3/74,15:20:00,CST,Indiana,Kentucky,Ohio,5,3,210,533,20,Ohio,Boone,Hamilton,-,-,-,-,-,-,-,-,-,-,,38.97,-84.88,39.22,-84.63,3,14,139,Unmodified
19740403.18.14,State,4/3/74,15:20:00,CST,Indiana,,,5,0,0,533,0,Ohio,-,-,-,-,-,-,-,-,-,-,-,-,,38.97,-84.88,38.98,-84.87,3,14,139,Unmodified
19740403.18.14,State,4/3/74,15:25:00,CST,Kentucky,,,5,0,20,533,14,Boone,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,38.98,-84.87,39.12,-84.67,3,8,139,Unmodified
19740403.18.14,State,4/3/74,16:45:00,CST,Ohio,,,5,3,190,533,6,Hamilton,-,-,-,-,-,-,-,-,-,-,-,-,,39.12,-84.67,39.22,-84.63,3,6,139,Unmodified
19740403.17.15,Summary,4/3/74,15:25:00,CST,Illinois,-,-,2,0,12,177,7,Vermilion,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,40.25,-87.63,40.35,-87.55,1,15,140,Unmodified
19740403.39.5,Summary,4/3/74,15:28:00,CST,Ohio,-,-,4,2,39,350,19,Hamilton,Warren,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.18,-84.48,39.43,-84.28,1,5,141,Unmodified
19740403.1.14,Summary,4/3/74,15:30:00,CST,Alabama,-,-,2,0,0,800,1,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.45,-87.05,-,-,1,14,142,Unmodified
19740403.18.15,Summary,4/3/74,15:30:00,CST,Indiana,-,-,3,0,0,700,25,Warren,Benton,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,40.28,-87.48,40.55,-87.13,1,15,143,Unmodified
19740403.17.16,Summary,4/3/74,15:30:00,CST,Illinois,-,-,1,0,0,90,14,Coles,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.45,-88.37,39.52,-88.1,1,16,144,Unmodified
19740403.21.9,Summary,4/3/74,15:37:00,CST,Kentucky,-,-,4,3,225,10,18,Jefferson,Oldham,-,-,-,-,-,-,-,-,-,-,-,,38.2,-85.75,38.37,-85.48,1,9,145,Unmodified
19740403.18.16,Summary,4/3/74,15:45:00,CST,Indiana,-,-,4,18,285,1760,108,Benton,Tippecanoe,White,Cass,Noble,Kosciusko,-,-,-,-,-,-,$50M-$500M,,40.5,-87.13,41.58,-85.43,1,16,146,Unmodified
