Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19990503.40.53,Summary,1999-05-03,19:13:00,CST,Oklahoma,-,-,0,0,0,100,0,Canadian,-,-,-,-,-,-,-,-,-,-,-,-,,35.42,-97.92,35.42,-97.92,1,53,1165,Unmodified
19990503.40.54,Summary,1999-05-03,19:16:00,CST,Oklahoma,-,-,0,0,0,0,1,Canadian,-,-,-,-,-,-,-,-,-,-,-,-,,35.43,-97.9,35.45,-97.9,1,54,1166,Unmodified
19990503.40.55,Summary,1999-05-03,19:17:00,CST,Oklahoma,-,-,1,0,0,50,4,Oklahoma,-,-,-,-,-,-,-,-,-,-,-,$60000,,35.58,-97.23,35.63,-97.2,1,55,1152,Unmodified
19990503.31.18,Summary,1999-05-03,19:20:00,CST,Nebraska,-,-,1,0,0,100,15,Holt,-,-,-,-,-,-,-,-,-,-,-,$750000,,42.23,-98.33,42.43,-98.3,1,18,335,Unmodified
19990503.40.56,Summary,1999-05-03,19:21:00,CST,Oklahoma,-,-,0,0,0,0,0,Blaine,-,-,-,-,-,-,-,-,-,-,-,-,,35.88,-98.37,35.88,-98.37,1,56,1187,Unmodified
19990503.40.57,Summary,1999-05-03,19:25:00,CST,Oklahoma,-,-,0,0,0,0,0,Canadian,-,-,-,-,-,-,-,-,-,-,-,-,,35.52,-97.92,35.52,-97.92,1,57,1167,Unmodified
19990503.31.20,Summary,1999-05-03,19:27:00,CST,Nebraska,-,-,0,0,0,40,3,Antelope,-,-,-,-,-,-,-,-,-,-,-,$10000,,42.3,-98.27,42.35,-98.27,1,20,385,Unmodified
19990503.40.58,Summary,1999-05-03,19:29:00,CST,Oklahoma,-,-,3,0,4,0,21,Canadian,Blaine,Kingfisher,Kingfisher,-,-,-,-,-,-,-,-,$320000,,35.65,-98.28,35.88,-98.05,1,58,1188,Unmodified
19990503.40.59,Summary,1999-05-03,19:34:00,CST,Oklahoma,-,-,1,0,0,150,6,Canadian,-,-,-,-,-,-,-,-,-,-,-,$50000,,35.53,-97.85,35.65,-97.8,1,59,1168,Unmodified
19990503.40.60,Summary,1999-05-03,19:34:00,CST,Oklahoma,-,-,1,0,0,30,9,Cleveland,Pottawatomie,-,-,-,-,-,-,-,-,-,-,$80000,,35.13,-97.2,35.3,-97.1,1,60,1183,Unmodified
